tool,week_index,commits
LangChain,0,69
LangChain,1,31
LangChain,2,29
LangChain,3,29
LangChain,4,73
LangChain,5,81
LangChain,6,46
LangChain,7,49
LangChain,8,112
LangChain,9,82
LangChain,10,86
LangChain,11,39
LangChain,12,46
LangChain,13,51
LangChain,14,33
LangChain,15,25
LangChain,16,22
LangChain,17,44
LangChain,18,67
LangChain,19,31
LangChain,20,39
LangChain,21,40
LangChain,22,68
LangChain,23,26
LangChain,24,29
LangChain,25,44
LangChain,26,83
LangChain,27,45
LangChain,28,33
LangChain,29,35
LangChain,30,47
LangChain,31,75
LangChain,32,25
LangChain,33,62
LangChain,34,46
LangChain,35,37
LangChain,36,68
LangChain,37,38
LangChain,38,53
LangChain,39,63
LangChain,40,88
LangChain,41,35
LangChain,42,28
LangChain,43,63
LangChain,44,69
LangChain,45,111
LangChain,46,32
LangChain,47,31
LangChain,48,29
LangChain,49,31
LangChain,50,31
LangChain,51,48
CrewAI,0,12
CrewAI,1,27
CrewAI,2,13
CrewAI,3,13
CrewAI,4,23
CrewAI,5,9
CrewAI,6,37
CrewAI,7,9
CrewAI,8,13
CrewAI,9,8
CrewAI,10,18
CrewAI,11,10
CrewAI,12,8
CrewAI,13,18
CrewAI,14,7
CrewAI,15,16
CrewAI,16,13
CrewAI,17,16
CrewAI,18,13
CrewAI,19,5
CrewAI,20,4
CrewAI,21,10
CrewAI,22,11
CrewAI,23,12
CrewAI,24,19
CrewAI,25,26
CrewAI,26,16
CrewAI,27,10
CrewAI,28,14
CrewAI,29,33
CrewAI,30,13
CrewAI,31,28
CrewAI,32,49
CrewAI,33,46
CrewAI,34,65
CrewAI,35,42
CrewAI,36,42
CrewAI,37,31
CrewAI,38,31
CrewAI,39,22
CrewAI,40,19
CrewAI,41,28
CrewAI,42,28
CrewAI,43,26
CrewAI,44,38
CrewAI,45,35
CrewAI,46,40
CrewAI,47,12
CrewAI,48,16
CrewAI,49,22
CrewAI,50,23
CrewAI,51,30
LlamaIndex,0,42
LlamaIndex,1,27
LlamaIndex,2,21
LlamaIndex,3,16
LlamaIndex,4,37
LlamaIndex,5,29
LlamaIndex,6,17
LlamaIndex,7,30
LlamaIndex,8,44
LlamaIndex,9,26
LlamaIndex,10,10
LlamaIndex,11,32
LlamaIndex,12,24
LlamaIndex,13,16
LlamaIndex,14,17
LlamaIndex,15,11
LlamaIndex,16,12
LlamaIndex,17,9
LlamaIndex,18,17
LlamaIndex,19,11
LlamaIndex,20,13
LlamaIndex,21,11
LlamaIndex,22,13
LlamaIndex,23,12
LlamaIndex,24,36
LlamaIndex,25,22
LlamaIndex,26,32
LlamaIndex,27,35
LlamaIndex,28,31
LlamaIndex,29,28
LlamaIndex,30,28
LlamaIndex,31,54
LlamaIndex,32,22
LlamaIndex,33,25
LlamaIndex,34,24
LlamaIndex,35,0
LlamaIndex,36,12
LlamaIndex,37,12
LlamaIndex,38,5
LlamaIndex,39,6
LlamaIndex,40,37
LlamaIndex,41,1
LlamaIndex,42,14
LlamaIndex,43,6
LlamaIndex,44,3
LlamaIndex,45,2
LlamaIndex,46,8
LlamaIndex,47,15
LlamaIndex,48,0
LlamaIndex,49,13
LlamaIndex,50,3
LlamaIndex,51,13
AutoGen,0,4
AutoGen,1,14
AutoGen,2,0
AutoGen,3,3
AutoGen,4,0
AutoGen,5,8
AutoGen,6,3
AutoGen,7,4
AutoGen,8,4
