tool,total_commits_52w,avg_weekly_commits,max_weekly_commits,commits_last_30d,commits_prev_30d,commit_growth_pct
AutoGen,43,0.83,14,0,0,0.0
Chroma,1372,26.38,93,56,79,-29.11
CrewAI,1129,21.71,65,91,125,-27.2
DSPy,507,9.75,30,49,11,345.45
Flowise,538,10.35,37,16,11,45.45
Haystack,1725,33.17,84,265,247,7.29
Instructor,226,4.35,21,18,3,500.0
LMStudio,15,0.29,6,0,0,0.0
LangChain,2597,49.94,112,139,243,-42.8
Langflow,2117,40.71,114,219,192,14.06
LiteLLM,18357,353.02,772,1857,736,152.31
LlamaCpp,4184,80.46,125,356,342,4.09
LlamaIndex,984,18.92,54,29,28,3.57
Mem0,846,16.27,65,105,208,-49.52
Milvus,2377,45.71,72,228,228,0.0
Ollama,1154,22.19,43,75,63,19.05
OpenWebUI,5467,105.13,341,617,391,57.8
Phidata,2022,38.88,99,144,109,32.11
Pinecone,1557,29.94,419,0,0,0.0
Qdrant,2091,40.21,90,216,223,-3.14
SemanticKernel,365,7.02,23,19,38,-50.0
TGI,26,0.5,6,0,0,0.0
Weaviate,7657,147.25,351,970,802,20.95
vLLM,11252,216.38,297,1001,1106,-9.49
