tool_id,tool_name,repo,pypi_package
1,LangChain,langchain-ai/langchain,langchain
2,CrewAI,crewAIInc/crewAI,crewai
3,LlamaIndex,run-llama/llama_index,llama-index-core
4,AutoGen,microsoft/autogen,pyautogen
5,SemanticKernel,microsoft/semantic-kernel,semantic-kernel
6,Haystack,deepset-ai/haystack,haystack-ai
7,DSPy,stanfordnlp/dspy,dspy
8,LiteLLM,BerriAI/litellm,litellm
9,Instructor,jxnl/instructor,instructor
10,Phidata,agno-agi/agno,agno
11,Mem0,mem0ai/mem0,mem0ai
12,vLLM,vllm-project/vllm,vllm
13,Ollama,ollama/ollama,N/A
14,TGI,huggingface/text-generation-inference,N/A
15,LlamaCpp,ggerganov/llama.cpp,llama-cpp-python
16,LMStudio,lmstudio-ai/lmstudio-python,lmstudio
17,Chroma,chroma-core/chroma,chromadb
18,Pinecone,pinecone-io/pinecone-python-client,pinecone-client
19,Milvus,milvus-io/milvus,pymilvus
20,Qdrant,qdrant/qdrant,qdrant-client
21,Weaviate,weaviate/weaviate,weaviate-client
22,Flowise,FlowiseAI/Flowise,N/A
23,Langflow,langflow-ai/langflow,langflow
24,OpenWebUI,open-webui/open-webui,open-webui
