commit_id,tool_id,total_commits_52w,avg_weekly_commits,max_weekly_commits,commits_last_30d,commits_prev_30d,commit_growth_pct
1,4,43,0.83,14,0,0,0
2,17,1372,26.38,93,56,79,-29.11
3,2,1129,21.71,65,91,125,-27.2
4,7,507,9.75,30,49,11,345.45
5,22,538,10.35,37,16,11,45.45
6,6,1725,33.17,84,265,247,7.29
7,9,226,4.35,21,18,3,500
8,16,15,0.29,6,0,0,0
9,1,2597,49.94,112,139,243,-42.8
10,23,2117,40.71,114,219,192,14.06
11,8,18357,353.02,772,1857,736,152.31
12,15,4184,80.46,125,356,342,4.09
13,3,984,18.92,54,29,28,3.57
14,11,846,16.27,65,105,208,-49.52
15,19,2377,45.71,72,228,228,0
16,13,1154,22.19,43,75,63,19.05
17,24,5467,105.13,341,617,391,57.8
18,10,2022,38.88,99,144,109,32.11
19,18,1557,29.94,419,0,0,0
20,20,2091,40.21,90,216,223,-3.14
21,5,365,7.02,23,19,38,-50
22,14,26,0.5,6,0,0,0
23,21,7657,147.25,351,970,802,20.95
24,12,11252,216.38,297,1001,1106,-9.49
25,4,43,0.83,14,0,0,0
26,17,1372,26.38,93,56,79,-29.11
27,2,1129,21.71,65,91,125,-27.2
28,7,507,9.75,30,49,11,345.45
29,22,538,10.35,37,16,11,45.45
30,6,1725,33.17,84,265,247,7.29
31,9,226,4.35,21,18,3,500
32,16,15,0.29,6,0,0,0
33,1,2597,49.94,112,139,243,-42.8
34,23,2117,40.71,114,219,192,14.06
35,8,18357,353.02,772,1857,736,152.31
36,15,4184,80.46,125,356,342,4.09
37,3,984,18.92,54,29,28,3.57
38,11,846,16.27,65,105,208,-49.52
39,19,2377,45.71,72,228,228,0
40,13,1154,22.19,43,75,63,19.05
41,24,5467,105.13,341,617,391,57.8
42,10,2022,38.88,99,144,109,32.11
43,18,1557,29.94,419,0,0,0
44,20,2091,40.21,90,216,223,-3.14
45,5,365,7.02,23,19,38,-50
46,14,26,0.5,6,0,0,0
47,21,7657,147.25,351,970,802,20.95
48,12,11252,216.38,297,1001,1106,-9.49
