hn_id,tool_id,hn_total_mentions,hn_mentions_last_90d
1,1,4689,184
2,2,418,35
3,3,705,24
4,4,502,20
5,6,3159,74
6,7,457,12
7,8,706,90
8,9,8628,154
9,10,31,0
10,11,153,16
11,12,1567,315
12,13,7475,543
13,14,196,2
14,15,217,49
15,17,2584,50
16,18,1720,37
17,19,502,7
18,20,792,30
19,21,578,7
20,22,64,14
21,23,93,10
22,1,4689,184
23,2,418,35
24,3,705,24
25,4,502,20
26,6,3159,74
27,7,457,12
28,8,706,90
29,9,8628,154
30,10,31,0
31,11,153,16
32,12,1567,315
33,13,7475,543
34,14,196,2
35,15,217,49
36,17,2584,50
37,18,1720,37
38,19,502,7
39,20,792,30
40,21,578,7
41,22,64,14
42,23,93,10
53,1,4689,184
54,2,418,35
55,3,705,24
56,4,502,20
57,6,3159,74
58,7,457,12
59,8,706,90
60,9,8628,154
61,10,31,0
62,11,153,16
63,12,1567,315
64,13,7475,543
65,14,196,2
66,15,217,49
67,17,2584,50
68,18,1720,37
69,19,502,7
70,20,792,30
71,21,578,7
72,22,64,14
73,23,93,10
84,1,4689,184
85,2,418,35
86,3,705,24
87,4,502,20
88,6,3159,74
89,7,457,12
90,8,706,90
91,9,8628,154
92,10,31,0
93,11,153,16
94,12,1567,315
95,13,7475,543
96,14,196,2
97,15,217,49
98,17,2584,50
99,18,1720,37
100,19,502,7
101,20,792,30
102,21,578,7
103,22,64,14
104,23,93,10
