snapshot_date,tool,repo,pypi_package,github_stars,github_forks,github_open_issues,pypi_last_month_downloads,stackoverflow_question_count,total_commits_52w,avg_weekly_commits,max_weekly_commits,commits_last_30d,commits_prev_30d,commit_growth_pct,hn_total_mentions,hn_mentions_last_90d,fork_to_star_ratio,downloads_per_star,community_score
06-08-2026,LangChain,langchain-ai/langchain,langchain,143547,23916,459,297163018,2174,2597,49.94,112,139,243,-42.8,4689,184,0.1666,2070.14,6863
06-08-2026,CrewAI,crewAIInc/crewAI,crewai,56690,8084,764,14264172,58,1129,21.71,65,91,125,-27.2,418,35,0.1426,251.62,476
06-08-2026,LlamaIndex,run-llama/llama_index,llama-index-core,51419,7881,610,16105905,345,984,18.92,54,29,28,3.57,705,24,0.1533,313.23,1050
06-08-2026,AutoGen,microsoft/autogen,pyautogen,60265,9083,977,587831,0,43,0.83,14,0,0,0,502,20,0.1507,9.75,502
06-08-2026,SemanticKernel,microsoft/semantic-kernel,semantic-kernel,28425,4707,257,2591843,71,365,7.02,23,19,38,-50,0,0,0.1656,91.18,71
06-08-2026,Haystack,deepset-ai/haystack,haystack-ai,26128,2979,86,972261,79,1725,33.17,84,265,247,7.29,3159,74,0.114,37.21,3238
06-08-2026,DSPy,stanfordnlp/dspy,dspy,36651,3174,640,6388983,17,507,9.75,30,49,11,345.45,457,12,0.0866,174.32,474
06-08-2026,LiteLLM,BerriAI/litellm,litellm,55702,10368,4777,692532253,12,18357,353.02,772,1857,736,152.31,706,90,0.1861,12432.81,718
06-08-2026,Instructor,jxnl/instructor,instructor,13695,1177,44,19733926,0,226,4.35,21,18,3,500,8628,154,0.0859,1440.96,8628
06-08-2026,Phidata,agno-agi/agno,agno,41601,5741,1135,0,4,2022,38.88,99,144,109,32.11,31,0,0.138,0,35
06-08-2026,Mem0,mem0ai/mem0,mem0ai,62665,7312,689,3969345,0,846,16.27,65,105,208,-49.52,153,16,0.1167,63.34,153
06-08-2026,vLLM,vllm-project/vllm,vllm,88336,20347,6327,5517384,45,11252,216.38,297,1001,1106,-9.49,1567,315,0.2303,62.46,1612
06-08-2026,Ollama,ollama/ollama,ollama,177908,17281,3618,0,332,1154,22.19,43,75,63,19.05,7475,543,0.0971,0,7807
06-08-2026,TGI,huggingface/text-generation-inference,docker,10888,1274,324,0,0,26,0.5,6,0,0,0,196,2,0.117,0,196
06-08-2026,LlamaCpp,ggerganov/llama.cpp,llama-cpp-python,122872,21376,1984,688307,0,4184,80.46,125,356,342,4.09,217,49,0.174,5.6,217
06-08-2026,LMStudio,lmstudio-ai/lmstudio-python,lmstudio,857,158,36,94414,23,15,0.29,6,0,0,0,0,0,0.1844,110.17,23
06-08-2026,Chroma,chroma-core/chroma,chromadb,28964,2424,773,13108113,299,1372,26.38,93,56,79,-29.11,2584,50,0.0837,452.57,2883
06-08-2026,Pinecone,pinecone-io/pinecone-python-client,pinecone-client,447,132,62,1181418,129,1557,29.94,419,0,0,0,1720,37,0.2953,2642.99,1849
06-08-2026,Milvus,milvus-io/milvus,pymilvus,45533,4166,1219,5743388,251,2377,45.71,72,228,228,0,502,7,0.0915,126.14,753
06-08-2026,Qdrant,qdrant/qdrant,qdrant-client,33810,2558,660,20688227,70,2091,40.21,90,216,223,-3.14,792,30,0.0757,611.9,862
06-08-2026,Weaviate,weaviate/weaviate,weaviate-client,16701,1358,623,194675278,164,7657,147.25,351,970,802,20.95,578,7,0.0813,11656.5,742
06-08-2026,Flowise,FlowiseAI/Flowise,flowise,55205,24858,1047,0,28,538,10.35,37,16,11,45.45,64,14,0.4503,0,92
06-08-2026,Langflow,langflow-ai/langflow,langflow,152886,9813,998,84905,9,2117,40.71,114,219,192,14.06,93,10,0.0642,0.56,102
06-08-2026,OpenWebUI,open-webui/open-webui,open-webui,148022,21542,487,1014929,0,5467,105.13,341,617,391,57.8,0,0,0.1455,6.86,0
