snapshot_date,tool,hn_total_mentions,hn_mentions_last_90d
06-08-2026,LangChain,4689,184
06-08-2026,CrewAI,418,35
06-08-2026,LlamaIndex,705,24
06-08-2026,AutoGen,502,20
06-08-2026,Semantic Kernel,135,2
06-08-2026,Haystack,3159,74
06-08-2026,DSPy,457,12
06-08-2026,LiteLLM,706,90
06-08-2026,Instructor,8628,154
06-08-2026,Phidata,31,0
06-08-2026,Mem0,153,16
06-08-2026,vLLM,1567,315
06-08-2026,Ollama,7475,543
06-08-2026,TGI,196,2
06-08-2026,LlamaCpp,217,49
06-08-2026,LM Studio,1267,200
06-08-2026,Chroma,2584,50
06-08-2026,Pinecone,1720,37
06-08-2026,Milvus,502,7
06-08-2026,Qdrant,792,30
06-08-2026,Weaviate,578,7
06-08-2026,Flowise,64,14
06-08-2026,Langflow,93,10
06-08-2026,Open WebUI,366,32
